inserts,deletes,started,ended,comment,size
25,0,2021-09-26 09:22:32.681011,2021-09-26 09:22:41.39641,Complete (KID 1706),0.5
0,40,2021-09-26 09:20:40.65479,2021-09-26 09:20:45.183252,Complete (KID 1706),0.5
20,0,2021-09-26 09:18:49.328961,2021-09-26 09:18:57.656835,Complete (KID 1706),0.5
0,30,2021-09-26 09:16:57.824278,2021-09-26 09:17:02.330176,Complete (KID 1706),0.5
15,0,2021-09-26 09:15:06.659684,2021-09-26 09:15:14.329236,Complete (KID 1706),0.5
0,20,2021-09-26 09:13:14.670127,2021-09-26 09:13:19.157682,Complete (KID 1706),0.5
10,0,2021-09-26 09:11:23.348961,2021-09-26 09:11:30.631235,Complete (KID 1706),0.5
0,10,2021-09-26 09:09:32.352599,2021-09-26 09:09:36.854844,Complete (KID 1706),0.5
5,0,2021-09-26 09:07:40.618814,2021-09-26 09:07:47.350451,Complete (KID 1706),0.5
0,4,2021-09-26 09:05:49.586432,2021-09-26 09:05:54.117841,Complete (KID 1706),0.5
2,0,2021-09-26 09:03:58.631225,2021-09-26 09:04:05.081665,Complete (KID 1706),0.5
0,200,2021-09-26 08:49:16.437372,2021-09-26 08:49:29.114415,Complete (KID 1706),5
100,0,2021-09-26 08:45:39.026208,2021-09-26 08:49:15.967502,Complete (KID 1706),5
0,180,2021-09-26 08:44:38.793691,2021-09-26 08:44:47.524854,Complete (KID 1706),5
90,0,2021-09-26 08:41:27.569946,2021-09-26 08:44:38.321945,Complete (KID 1706),5
0,160,2021-09-26 08:40:13.273509,2021-09-26 08:40:20.567319,Complete (KID 1706),5
80,0,2021-09-26 08:37:19.503239,2021-09-26 08:40:12.804628,Complete (KID 1706),5
0,140,2021-09-26 08:35:36.315338,2021-09-26 08:35:41.477044,Complete (KID 1706),5
70,0,2021-09-26 08:33:15.53465,2021-09-26 08:35:35.84428,Complete (KID 1706),5
0,120,2021-09-26 08:31:24.453376,2021-09-26 08:31:31.497328,Complete (KID 1706),5
60,0,2021-09-26 08:29:14.54231,2021-09-26 08:31:23.983298,Complete (KID 1706),5
0,100,2021-09-26 08:27:04.680752,2021-09-26 08:27:09.53328,Complete (KID 1706),5
50,0,2021-09-26 08:25:12.705825,2021-09-26 08:27:00.707555,Complete (KID 1706),5
0,90,2021-09-26 08:23:06.305793,2021-09-26 08:23:11.191924,Complete (KID 1706),5
45,0,2021-09-26 08:21:14.301365,2021-09-26 08:22:56.328753,Complete (KID 1706),5
0,80,2021-09-26 08:19:09.738197,2021-09-26 08:19:16.28641,Complete (KID 1706),5
40,0,2021-09-26 08:17:18.31555,2021-09-26 08:18:44.751952,Complete (KID 1706),5
0,70,2021-09-26 08:15:15.15262,2021-09-26 08:15:19.815603,Complete (KID 1706),5
35,0,2021-09-26 08:13:23.885951,2021-09-26 08:14:36.157332,Complete (KID 1706),5
0,60,2021-09-26 08:11:22.264839,2021-09-26 08:11:26.882173,Complete (KID 1706),5
30,0,2021-09-26 08:09:31.287235,2021-09-26 08:10:32.263505,Complete (KID 1706),5
0,50,2021-09-26 08:07:30.248225,2021-09-26 08:07:34.782377,Complete (KID 1706),5
25,0,2021-09-26 08:05:38.892888,2021-09-26 08:06:31.741309,Complete (KID 1706),5
0,40,2021-09-26 08:03:40.49405,2021-09-26 08:03:45.888302,Complete (KID 1706),5
20,0,2021-09-26 08:01:49.250957,2021-09-26 08:02:32.022185,Complete (KID 1706),5
0,30,2021-09-26 07:59:51.580996,2021-09-26 07:59:56.252853,Complete (KID 1706),5
15,0,2021-09-26 07:58:00.108548,2021-09-26 07:58:34.56566,Complete (KID 1706),5
0,20,2021-09-26 07:56:04.564728,2021-09-26 07:56:09.10936,Complete (KID 1706),5
10,0,2021-09-26 07:54:13.596672,2021-09-26 07:54:40.079879,Complete (KID 1706),5
0,10,2021-09-26 07:52:19.096443,2021-09-26 07:52:23.593631,Complete (KID 1706),5
5,0,2021-09-26 07:50:28.138081,2021-09-26 07:50:45.602791,Complete (KID 1706),5
0,4,2021-09-26 07:48:35.558643,2021-09-26 07:48:40.135932,Complete (KID 1706),5
2,0,2021-09-26 07:46:44.286924,2021-09-26 07:46:55.559504,Complete (KID 1706),5
0,400,2021-09-24 13:03:59.544323,2021-09-24 13:04:09.857729,Complete (KID 1706),2
200,0,2021-09-24 13:01:55.214058,2021-09-24 13:03:59.074572,Complete (KID 1706),2
0,300,2021-09-24 12:59:39.19378,2021-09-24 12:59:44.196092,Complete (KID 1706),2
150,0,2021-09-24 12:57:47.209201,2021-09-24 12:59:21.211907,Complete (KID 1706),2
0,200,2021-09-24 12:55:37.022678,2021-09-24 12:55:41.792035,Complete (KID 1706),2
100,0,2021-09-24 12:53:45.958182,2021-09-24 12:54:51.023871,Complete (KID 1706),2
